iter	RMSE
0	1607.765978
1	1574.442423
2	1543.665106
3	1517.858345
4	1494.030888
5	1472.278577
6	1451.287619
7	1433.377834
8	1416.391109
9	1401.297966
10	1386.819023
11	1374.040176
12	1362.081003
13	1352.167262
14	1342.097548
15	1333.639081
16	1325.472007
17	1317.757049
18	1311.230377
19	1305.628672
20	1299.825421
21	1294.478533
22	1289.301213
23	1285.103075
24	1280.67312
25	1276.83706
26	1273.373654
27	1270.176966
28	1267.45414
29	1264.531991
30	1261.545643
31	1258.786844
32	1256.730715
33	1254.375823
34	1252.307295
35	1250.503452
36	1248.436888
37	1246.377456
38	1244.469507
39	1242.741712
40	1241.202703
41	1239.596092
42	1238.285776
43	1236.957359
44	1235.544281
45	1234.179396
46	1232.588766
47	1231.578164
48	1230.50455
49	1229.471351
50	1228.38147
51	1227.302057
52	1226.129908
53	1224.995621
54	1224.201867
55	1223.196573
56	1222.130251
57	1221.222831
58	1220.473877
59	1219.452013
60	1218.522943
61	1217.843584
62	1216.959119
63	1216.155235
64	1215.350088
65	1214.400224
66	1213.566424
67	1212.784466
68	1212.08579
69	1211.34825
70	1210.787012
71	1210.158825
72	1209.375696
73	1208.698767
74	1208.186437
75	1207.552556
76	1206.816398
77	1205.999145
78	1205.266965
79	1204.450101
80	1203.834443
81	1203.23122
82	1202.622839
83	1201.983018
84	1201.565906
85	1201.029365
86	1200.361254
87	1199.829353
88	1199.234434
89	1198.649216
90	1198.006603
91	1197.520385
92	1197.096789
93	1196.468411
94	1196.004641
95	1195.518016
96	1194.904088
97	1194.335757
98	1193.832597
99	1193.27815
100	1192.740964
101	1192.218327
102	1191.487686
103	1190.97383
104	1190.464346
105	1190.095791
106	1189.551427
107	1188.979567
108	1188.454233
109	1187.871577
110	1187.386434
111	1186.923919
112	1186.4389
113	1185.90813
114	1185.423799
115	1185.094626
116	1184.571166
117	1184.134885
118	1183.728799
119	1183.376117
120	1182.913088
121	1182.531343
122	1181.962246
123	1181.441526
124	1181.074267
125	1180.532057
126	1180.087983
127	1179.743548
128	1179.180856
129	1178.732908
130	1178.27548
131	1177.888273
132	1177.420923
133	1176.831664
134	1176.292271
135	1175.91414
136	1175.393184
137	1175.044435
138	1174.578096
139	1173.999003
140	1173.553274
141	1173.011347
142	1172.599222
143	1171.985978
144	1171.585225
145	1171.236217
146	1170.909329
147	1170.356098
148	1169.85085
149	1169.4895
150	1168.832511
151	1168.222307
152	1167.912482
153	1167.258714
154	1166.582289
155	1165.952806
156	1165.628323
157	1165.073679
158	1164.605252
159	1164.174868
160	1163.716394
161	1163.440325
162	1163.001318
163	1162.338101
164	1161.78577
165	1161.303793
166	1160.599258
167	1160.195591
168	1159.829111
169	1159.486284
170	1158.976472
171	1158.3646
172	1157.837929
173	1157.514408
174	1157.087433
175	1156.514133
176	1156.141242
177	1155.690037
178	1155.18463
179	1154.527742
180	1153.926696
181	1153.313026
182	1152.850265
183	1152.381378
184	1151.900758
185	1151.160447
186	1150.644544
187	1150.180965
188	1149.592755
189	1149.007057
190	1148.454999
191	1147.758043
192	1147.254579
193	1146.740292
194	1146.274972
195	1145.796636
196	1145.270699
197	1144.801218
198	1144.462188
199	1143.800012
200	1143.343499
201	1142.821249
202	1142.311395
203	1141.604608
204	1141.23244
205	1140.719106
