iter	Passed	Remaining
0	106	160115
1	140	105108
2	169	84821
3	199	74652
4	228	68444
5	258	64312
6	287	61287
7	317	59294
8	347	57596
9	377	56228
10	406	55057
11	436	54071
12	465	53271
13	495	52552
14	524	51919
15	554	51444
16	585	51040
17	614	50630
18	644	50210
19	673	49844
20	703	49513
21	733	49247
22	762	48949
23	791	48696
24	820	48420
25	850	48212
26	880	48012
27	909	47792
28	938	47596
29	968	47447
30	997	47257
31	1026	47084
32	1055	46908
33	1084	46764
34	1115	46682
35	1144	46554
36	1174	46424
37	1203	46299
38	1232	46156
39	1260	46016
40	1289	45886
41	1318	45785
42	1347	45667
43	1376	45548
44	1406	45466
45	1435	45380
46	1464	45275
47	1494	45200
48	1523	45111
49	1552	45016
50	1581	44945
51	1610	44855
52	1639	44765
53	1668	44684
54	1697	44593
55	1725	44504
56	1754	44412
57	1783	44345
58	1812	44271
59	1840	44178
60	1869	44108
61	1898	44027
62	1926	43952
63	1955	43883
64	1985	43827
65	2014	43762
66	2042	43694
67	2071	43626
68	2100	43568
69	2129	43499
70	2158	43444
71	2188	43399
72	2217	43340
73	2245	43278
74	2274	43222
75	2303	43161
76	2332	43107
77	2361	43056
78	2390	43004
79	2419	42939
80	2448	42886
81	2476	42825
82	2504	42764
83	2534	42720
84	2562	42665
85	2591	42615
86	2620	42556
87	2650	42522
88	2679	42475
89	2707	42418
90	2736	42367
91	2764	42315
92	2793	42267
93	2822	42210
94	2850	42160
95	2879	42111
96	2908	42067
97	2937	42017
98	2965	41968
99	2994	41925
100	3023	41882
101	3053	41850
102	3082	41801
103	3110	41756
104	3140	41722
105	3170	41690
106	3198	41646
107	3227	41603
108	3256	41556
109	3284	41503
110	3313	41459
111	3341	41415
112	3370	41375
113	3399	41332
114	3428	41290
115	3457	41249
116	3486	41215
117	3515	41170
118	3543	41125
119	3572	41087
120	3602	41057
121	3631	41019
122	3660	40977
123	3688	40928
124	3716	40879
125	3745	40838
126	3773	40799
127	3803	40764
128	3832	40726
129	3861	40694
130	3891	40663
131	3919	40622
132	3947	40576
133	3977	40543
134	4006	40510
135	4034	40467
136	4063	40423
137	4092	40388
138	4121	40352
139	4150	40316
140	4178	40275
141	4207	40240
142	4236	40203
143	4265	40165
144	4294	40130
145	4323	40094
146	4352	40060
147	4381	40023
148	4410	39990
149	4439	39954
150	4468	39918
151	4496	39875
152	4524	39835
153	4552	39793
154	4581	39754
155	4610	39721
156	4639	39687
157	4667	39647
158	4697	39615
159	4725	39577
160	4754	39545
161	4783	39509
162	4812	39472
163	4841	39436
164	4869	39397
165	4898	39364
166	4927	39333
167	4956	39295
168	4985	39264
169	5014	39233
170	5043	39199
171	5072	39162
172	5101	39131
173	5131	39102
174	5159	39067
175	5188	39032
176	5217	38997
177	5246	38964
178	5274	38926
179	5303	38890
180	5332	38861
181	5362	38830
182	5390	38795
183	5419	38757
184	5447	38723
185	5475	38684
186	5504	38648
187	5532	38609
188	5561	38579
189	5590	38546
190	5620	38519
191	5649	38484
192	5677	38451
193	5707	38419
194	5735	38383
195	5763	38347
196	5792	38316
197	5821	38282
198	5851	38252
199	5879	38217
200	5908	38184
201	5936	38148
202	5965	38116
203	5994	38082
204	6022	38047
205	6051	38014
206	6080	37980
207	6109	37949
208	6138	37916
209	6166	37882
210	6195	37849
211	6224	37815
212	6252	37780
213	6281	37745
214	6309	37710
215	6338	37676
216	6366	37639
217	6395	37607
218	6424	37577
219	6453	37545
220	6481	37510
221	6510	37480
222	6539	37450
223	6568	37417
224	6597	37386
225	6626	37356
226	6656	37326
227	6685	37299
228	6714	37267
229	6743	37234
230	6771	37199
231	6799	37165
232	6828	37132
233	6857	37100
234	6886	37072
235	6916	37044
236	6945	37014
237	6974	36983
238	7003	36953
239	7032	36921
240	7061	36891
241	7090	36859
242	7119	36829
243	7148	36799
244	7177	36766
245	7206	36734
246	7235	36702
247	7263	36668
248	7291	36634
249	7320	36602
250	7349	36569
251	7377	36536
252	7406	36507
253	7435	36477
254	7465	36448
255	7494	36416
256	7523	36386
257	7552	36356
258	7581	36324
259	7609	36293
260	7638	36262
261	7667	36231
262	7696	36200
263	7725	36167
264	7753	36134
265	7782	36103
266	7811	36071
267	7840	36040
268	7869	36011
269	7898	35980
270	7927	35953
271	7956	35921
272	7985	35891
273	8014	35859
274	8043	35828
275	8072	35800
276	8101	35770
277	8130	35740
278	8159	35707
279	8188	35677
280	8216	35644
281	8245	35613
282	8274	35583
283	8302	35550
284	8332	35521
285	8360	35488
286	8389	35457
287	8418	35427
288	8447	35397
289	8476	35365
290	8505	35335
291	8534	35305
292	8562	35274
293	8591	35242
294	8619	35209
295	8647	35175
296	8677	35147
297	8706	35116
298	8735	35087
299	8764	35057
300	8792	35025
301	8822	34996
302	8851	34967
303	8880	34937
304	8909	34909
305	8938	34877
306	8967	34848
307	8997	34819
308	9025	34788
309	9054	34758
310	9083	34728
311	9112	34697
312	9141	34665
313	9169	34634
314	9198	34604
315	9227	34573
316	9256	34543
317	9285	34513
318	9314	34482
319	9343	34453
320	9371	34421
321	9400	34389
322	9429	34361
323	9458	34331
324	9487	34300
325	9516	34271
326	9545	34242
327	9574	34212
328	9603	34181
329	9631	34149
330	9660	34117
331	9689	34087
332	9717	34056
333	9747	34027
334	9775	33993
335	9803	33961
336	9832	33931
337	9861	33902
338	9890	33873
339	9918	33840
340	9947	33810
341	9976	33780
342	10005	33751
343	10034	33721
344	10063	33690
345	10092	33660
346	10120	33629
347	10149	33599
348	10178	33568
349	10207	33539
350	10236	33507
351	10264	33477
352	10292	33444
353	10322	33416
354	10351	33386
355	10380	33358
356	10409	33329
357	10438	33297
358	10466	33266
359	10495	33236
360	10524	33207
361	10553	33176
362	10582	33147
363	10611	33117
364	10640	33086
365	10669	33057
366	10697	33026
367	10726	32994
368	10754	32963
369	10783	32933
370	10811	32902
371	10840	32872
372	10869	32841
373	10898	32810
374	10926	32779
